trial_no,condition,onset_time
1,3,0
2,3,4.8
3,1,9.6
4,1,11.7
5,2,14
6,3,16.8
7,2,22.6
8,1,26
9,3,28.1
10,3,33.9
11,3,40.6
12,3,42.7
13,1,45.1
14,1,48.8
15,2,50.8
16,3,57
17,1,60.4
18,2,65.3
19,1,71.6
20,2,77.2
21,1,82.4
22,1,87.6
23,3,89.8
24,1,91.8
25,2,98
26,1,104.5
27,1,106.6
28,1,108.6
29,3,114.5
30,2,117.9
31,2,119.9
32,2,121.9
33,1,128
34,1,133
35,1,135.8
36,3,140.2
37,2,142.3
38,3,146.3
39,3,149.9
40,2,154
41,1,157.9
42,2,162.2
43,2,167.1
44,3,169.2
45,3,174.5
46,2,178.5
47,1,183.4
48,2,189.6
49,3,191.9
50,3,193.9
51,2,197.4
52,2,200.6
53,2,203.2
54,2,209.8
55,3,215.2
56,1,221.6
57,2,223.6
58,1,225.7
59,1,227.9
60,1,231.7
61,3,236.8
62,1,241.9
63,1,247
64,3,252.1
65,3,257.1
66,3,263.1
67,3,269.2
68,2,274.7
69,1,276.7
70,2,279.4
71,3,282.1
72,3,286.5
73,2,290.6
74,3,295.8
75,1,301.8
76,1,304.9
77,3,310.9
78,2,313.6
79,2,317.2
80,2,320.3
81,2,322.8
